# {"t_start": 1600396399.741331, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3478.673927
-46.0,50,3486.662273
-29.0,50,3494.762992
-50.0,50,3502.632932
-50.0,50,3505.883686
-13.0,50,3513.91636
-29.0,50,3521.904559
-50.0,50,3529.793559
-26.0,50,3533.056834
-50.0,50,3541.134444
-50.0,50,3548.915362
-39.0,50,3556.869169
-19.0,50,3564.692317
-50.0,50,3572.49014
-39.0,50,3575.785295
-13.0,50,3584.593468
-27.0,50,3592.39863
-50.0,50,3600.110355
-50.0,50,3603.898232
-50.0,50,3611.884219
-50.0,50,3619.744843
-50.0,50,3627.5145
-50.0,50,3635.338789
-14.0,50,3638.570704
-50.0,50,3647.300116
-17.0,50,3655.206247
-50.0,50,3663.02801
-50.0,50,3666.309
-15.0,50,3669.491808
-50.0,50,3677.281149
-31.0,50,3680.469602
-50.0,50,3688.606013
-28.0,50,3691.864044
-50.0,50,3699.774482
-34.0,50,3703.151732
-11.0,50,3711.014099
-26.0,50,3719.031747
-36.0,50,3726.726281
-50.0,50,3734.88135
-5.0,50,3738.239358
-12.0,50,3741.544089
-50.0,50,3749.400216
-50.0,50,3752.682886
-10.0,50,3755.957161
-50.0,50,3763.845783
-20.0,50,3767.122597
-50.0,50,3775.134567
-50.0,50,3783.061139
-50.0,50,3790.879397
-34.0,50,3794.121541
-18.0,50,3801.8906
-34.0,50,3809.828594
-14.0,50,3817.77827
-50.0,50,3825.597633
-50.0,50,3828.883357
-26.0,50,3832.179162
-50.0,50,3839.905867
-32.0,50,3843.176831
0.0,50,3850.950641
-36.0,50,3854.249813
-50.0,50,3862.175852
-50.0,50,3865.424215
-17.0,50,3868.742612
0.0,50,3876.677931
-44.0,50,3879.995135
-50.0,50,3887.828251
-50.0,50,3891.135043
-50.0,50,3894.396059
-20.0,50,3897.698816
-34.0,50,3905.603571
-50.0,50,3913.70759
-32.0,50,3917.152333
-50.0,50,3925.049985
-34.0,50,3928.29185
