epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
153,0.8203189,0.18927948,0.20004368,0.24902023,1540.0,-1.1131301,1.0,15400.0,0.45
154,0.8204496,0.18923122,0.20005949,0.24905734,1550.0,-1.5841547,1.0,15500.0,0.39
155,0.820595,0.18904752,0.20009421,0.24918568,1560.0,-1.2876385,0.8,15600.0,0.36
156,0.8208044,0.18872218,0.20014465,0.24909638,1570.0,-0.7898573,1.0,15700.0,0.37
157,0.8208949,0.18873803,0.20017181,0.24911126,1580.0,-1.4983449,1.0,15800.0,0.45
158,0.82101727,0.18849194,0.20021275,0.24907188,1590.0,-1.0348061,1.0,15900.0,0.49
159,0.82117796,0.1882809,0.20024486,0.2490266,1600.0,-1.4270624,0.9,16000.0,0.37
160,0.8212817,0.18799056,0.20026897,0.24900581,1610.0,-1.7986819,0.8,16100.0,0.44
161,0.8214032,0.18784565,0.20029771,0.2489866,1620.0,-1.0502028,0.9,16200.0,0.42
162,0.8214908,0.18784958,0.200317,0.24902359,1630.0,-0.9050962,1.0,16300.0,0.44
163,0.8215937,0.18766028,0.20033017,0.24906337,1640.0,-1.046931,0.9,16400.0,0.43
164,0.82177424,0.18746518,0.20035963,0.24903435,1650.0,-1.4275143,0.8,16500.0,0.4
165,0.8219231,0.18729655,0.2003969,0.24900459,1660.0,-1.1093118,1.0,16600.0,0.46
166,0.8220342,0.18712024,0.20042752,0.24897237,1670.0,-1.169041,1.0,16700.0,0.37
167,0.8221373,0.18700351,0.20045696,0.2489381,1680.0,-1.8071159,1.0,16800.0,0.39
168,0.8222132,0.18691017,0.20048474,0.24892539,1690.0,-1.5832956,0.8,16900.0,0.41
169,0.8223631,0.18656035,0.2005227,0.24883787,1700.0,-0.84815234,0.9,17000.0,0.4
170,0.8225054,0.18634002,0.20057414,0.24880159,1710.0,-0.9397973,0.9,17100.0,0.35
171,0.8226526,0.18607903,0.20060328,0.24875356,1720.0,-1.2239703,1.0,17200.0,0.37
172,0.822793,0.18574734,0.20064145,0.24871942,1730.0,-0.9125947,1.0,17300.0,0.55
173,0.8229131,0.18551426,0.20066185,0.24875267,1740.0,-0.93722534,1.0,17400.0,0.36
174,0.82296467,0.18554938,0.20068239,0.2487395,1750.0,-0.745057,1.0,17500.0,0.41
175,0.82298535,0.18558185,0.20067963,0.24877356,1760.0,-1.4025189,0.8,17600.0,0.51
176,0.8230118,0.18556862,0.20069703,0.2487853,1770.0,-0.77068865,1.0,17700.0,0.41
177,0.8230324,0.18573491,0.20069061,0.24886218,1780.0,-1.5369339,0.9,17800.0,0.47
178,0.82309717,0.18564421,0.20070446,0.24884382,1790.0,-1.5234176,0.8,17900.0,0.42
179,0.82308906,0.18573791,0.2007119,0.24896239,1800.0,-1.7708929,0.7,18000.0,0.38
180,0.8231508,0.18565293,0.20071028,0.24896534,1810.0,-0.8572358,1.0,18100.0,0.39
181,0.82322574,0.18555951,0.20072965,0.24898678,1820.0,-0.5112479,1.0,18200.0,0.46
182,0.8232413,0.18552023,0.20073423,0.24895404,1830.0,-0.91380346,1.0,18300.0,0.43
